000.png,13.44,0.402
001.png,15.17,0.514
002.png,16.59,0.430
003.png,16.34,0.401
004.png,15.85,0.385
005.png,16.44,0.522
006.png,17.27,0.413
007.png,11.95,0.516
008.png,13.46,0.565
009.png,13.25,0.482
010.png,12.50,0.367
011.png,12.39,0.291
012.png,12.92,0.414
013.png,14.34,0.418
014.png,13.10,0.412
015.png,15.29,0.443
016.png,14.96,0.445
017.png,15.26,0.458
018.png,15.44,0.445
019.png,15.20,0.304
020.png,15.18,0.460
021.png,14.66,0.415
022.png,14.66,0.386
023.png,15.59,0.394
024.png,14.88,0.365
025.png,16.57,0.419
026.png,13.93,0.523
027.png,17.89,0.545
028.png,18.11,0.505
029.png,14.16,0.542
030.png,11.94,0.544
031.png,15.56,0.408
032.png,16.90,0.467
033.png,14.77,0.396
034.png,15.43,0.437
035.png,16.09,0.474
036.png,16.42,0.523
037.png,14.31,0.386
038.png,16.38,0.533
039.png,16.19,0.532
040.png,15.50,0.514
041.png,14.49,0.505
042.png,15.21,0.529
043.png,13.34,0.521
044.png,18.55,0.456
045.png,16.56,0.514
046.png,14.66,0.494
047.png,14.90,0.426
048.png,14.88,0.450
049.png,15.60,0.537
050.png,16.49,0.525
051.png,13.16,0.448
052.png,15.15,0.444
053.png,15.06,0.424
054.png,18.30,0.590
055.png,12.87,0.559
056.png,16.92,0.504
057.png,14.27,0.509
058.png,17.02,0.570
059.png,14.11,0.512
060.png,18.28,0.624
061.png,16.70,0.645
062.png,14.50,0.616
063.png,20.16,0.643
064.png,14.64,0.628
065.png,14.47,0.588
066.png,15.31,0.597
067.png,17.32,0.614
068.png,15.93,0.645
069.png,16.36,0.617
070.png,15.34,0.583
071.png,15.47,0.568
072.png,13.30,0.518
073.png,19.95,0.560
074.png,18.07,0.605
075.png,18.52,0.599
076.png,16.55,0.578
077.png,17.85,0.591
078.png,16.62,0.657
079.png,16.44,0.604
080.png,16.27,0.553
081.png,15.16,0.546
082.png,14.79,0.569
083.png,18.54,0.618
084.png,16.85,0.653
085.png,18.18,0.607
086.png,19.84,0.565
087.png,20.39,0.525
088.png,17.26,0.563
089.png,15.53,0.557
090.png,14.47,0.587
091.png,17.29,0.584
092.png,15.55,0.602
093.png,17.50,0.643
094.png,15.53,0.612
095.png,15.23,0.625
096.png,17.08,0.592
097.png,15.48,0.504
098.png,19.23,0.515
099.png,16.25,0.572
100.png,18.09,0.487
101.png,17.91,0.487
102.png,19.97,0.555
103.png,19.29,0.551
104.png,19.38,0.588
105.png,14.30,0.562
106.png,15.21,0.576
107.png,15.63,0.516
108.png,15.76,0.498
109.png,12.83,0.435
110.png,15.61,0.444
111.png,13.63,0.396
112.png,14.98,0.473
113.png,13.31,0.393
114.png,15.23,0.430
115.png,14.02,0.521
116.png,15.39,0.658
117.png,15.50,0.648
118.png,17.68,0.584
119.png,15.31,0.610
120.png,17.49,0.674
121.png,14.50,0.586
122.png,16.53,0.672
123.png,14.36,0.494
124.png,15.75,0.406
125.png,14.56,0.547
126.png,15.77,0.514
127.png,12.13,0.467
128.png,14.15,0.423
129.png,13.63,0.398
130.png,15.14,0.445
131.png,14.55,0.442
132.png,12.44,0.438
133.png,14.91,0.574
134.png,15.06,0.563
135.png,13.61,0.428
136.png,16.06,0.446
137.png,14.86,0.397
138.png,12.04,0.443
139.png,12.88,0.475
140.png,15.40,0.427
141.png,16.00,0.459
142.png,16.66,0.462
143.png,15.10,0.427
144.png,14.63,0.376
145.png,15.47,0.434
146.png,14.40,0.360
147.png,15.61,0.433
148.png,15.73,0.569
149.png,16.21,0.568
150.png,12.44,0.590
151.png,15.07,0.614
152.png,13.87,0.639
153.png,14.77,0.614
154.png,15.22,0.554
155.png,17.32,0.683
156.png,16.20,0.633
157.png,15.20,0.639
158.png,15.81,0.609
159.png,13.03,0.587
160.png,15.36,0.644
161.png,11.81,0.562
162.png,17.04,0.576
163.png,15.22,0.619
164.png,18.22,0.662
165.png,17.06,0.616
166.png,16.41,0.562
167.png,16.60,0.514
168.png,14.98,0.643
169.png,14.67,0.546
170.png,13.69,0.531
171.png,15.04,0.544
172.png,21.47,0.772
173.png,17.52,0.566
174.png,15.92,0.618
175.png,14.46,0.537
176.png,15.43,0.618
177.png,13.67,0.603
178.png,14.09,0.603
179.png,15.99,0.661
180.png,16.01,0.630
181.png,17.83,0.628
182.png,15.13,0.548
183.png,16.87,0.611
184.png,12.68,0.635
185.png,14.56,0.577
186.png,16.48,0.675
187.png,13.61,0.652
188.png,15.15,0.603
189.png,16.18,0.641
190.png,17.54,0.715
191.png,15.45,0.679
192.png,15.13,0.587
193.png,14.57,0.548
194.png,13.79,0.560
195.png,14.10,0.537
196.png,14.38,0.536
197.png,13.11,0.553
198.png,14.45,0.562
199.png,16.68,0.626
200.png,16.56,0.626
201.png,18.00,0.650
202.png,15.56,0.626
203.png,17.77,0.710
204.png,16.12,0.586
205.png,14.40,0.621
206.png,14.76,0.615
207.png,15.80,0.612
208.png,16.19,0.649
209.png,16.80,0.592
210.png,17.77,0.709
211.png,16.11,0.646
212.png,16.28,0.630
213.png,16.42,0.615
214.png,13.38,0.611
215.png,12.57,0.577
216.png,15.22,0.655
217.png,14.44,0.584
218.png,14.89,0.579
219.png,14.23,0.519
220.png,13.58,0.604
221.png,14.13,0.535
222.png,15.70,0.645
223.png,13.10,0.575
